,datetime,timestamp,user_id,level,task,hr,gsr,rr,temperature,TLX_mean,TLX_mental_demand,TLX_physical_demand,TLX_temporal_demand,TLX_performance,TLX_effort,TLX_frustration,band_ax,band_ay,band_az,opacity_median,opacity_std
0,2017-09-13 15:50:54,1505317853501,c24ur,1,n2,86.33333333333333,1.797484812867836,0.7300479999999977,30.8600006103516,-1,-1,-1,-1,-1,-1,-1,-0.998006333333332,-0.0962727666666679,0.1381023333333322,-1.0,-1.0
1,2017-09-13 16:10:08,1505319007495,c24ur,rest,HPrest,77.33333333333333,2.384776942612841,0.6692106666666655,31.370000839233413,-1,-1,-1,-1,-1,-1,-1,-0.0057372999999971,0.9240316666666664,0.4020996666666654,-1.0,-1.0
2,2017-09-13 16:12:31,1505319150498,c24ur,rest,HPrest,75.0,2.2902157034576844,0.3594933333333315,31.32999992370612,-1,-1,-1,-1,-1,-1,-1,0.0482583333333361,0.8111166666666668,-0.0284830666666685,-1.0,-1.0
3,2017-09-13 16:16:51,1505319410488,c24ur,rest,HPrest,64.33333333333333,2.2539469492065067,0.9623359999999972,31.219999313354503,-1,-1,-1,-1,-1,-1,-1,-1.000649999999996,-0.0798339666666662,0.1339518333333319,-1.0,-1.0
4,2017-09-13 16:27:16,1505320035505,c24ur,rest,GCrest,74.33333333333333,1.4079402906218188,0.8185386666666631,30.78000068664546,-1,-1,-1,-1,-1,-1,-1,-0.2664796666666588,0.7979735000000013,0.5570069999999983,-1.0,-1.0
5,2017-09-13 16:30:13,1505320212507,c24ur,rest,GCrest,71.33333333333333,1.2234914345623744,0.8019466666666606,30.703333536783788,-1,-1,-1,-1,-1,-1,-1,-0.3138429999999918,0.8929850000000009,0.3530274999999981,-1.0,-1.0
6,2017-09-13 16:32:05,1505320324487,c24ur,rest,GCrest,69.66666666666667,1.3464996450851492,0.8295999999999939,30.479999542236254,-1,-1,-1,-1,-1,-1,-1,-0.9729003333333254,0.1672363333333349,-0.2100423333333349,-1.0,-1.0
7,2017-09-13 15:58:49,1505318328502,c24ur,rest,n3_rest,66.0,2.463054187192113,0.9346826666666642,31.250000000000004,-1,-1,-1,-1,-1,-1,-1,-0.999593333333333,0.1077064999999988,0.1254066666666653,-1.0,-1.0
8,2017-09-13 16:48:31,1505321310491,c24ur,1,PT,65.0,1.529832514560691,0.9457439999999908,30.479999542236232,8,1,1,1,3,1,1,-0.5754394999999916,0.7641196666666678,0.3294679999999981,0.0941176470588,0.0286032667117975
9,2017-09-13 16:49:47,1505321386500,c24ur,0,PT,64.66666666666667,1.5037593984962048,0.8738453333333247,30.430000305175728,8,1,1,1,3,1,1,-0.6328126666666587,0.7247720000000014,0.2864176666666648,0.101960784314,0.0402478544268944
10,2017-09-13 16:53:04,1505321583473,c24ur,2,PT,60.333333333333336,1.5376737957382771,0.9955199999999912,30.430000305175728,18,4,1,3,4,4,2,-0.8929036666666589,0.2332356666666675,-0.4052330000000019,0.121568627451,0.0651136654635489
11,2017-09-13 16:43:16,1505320995503,c24ur,rest,SXrest,67.0,1.4844165611872029,0.8461919999999931,30.45000076293943,-1,-1,-1,-1,-1,-1,-1,-0.2703858333333245,0.7499998333333343,0.6205646666666649,-1.0,-1.0
12,2017-09-13 16:44:57,1505321096487,c24ur,rest,SXrest,61.66666666666666,1.286449872568088,0.9014986666666588,30.45000076293943,-1,-1,-1,-1,-1,-1,-1,-0.9441733333333246,-0.0092366366666655,0.3729246666666648,-1.0,-1.0
13,2017-09-13 16:47:40,1505321259491,c24ur,rest,SXrest,64.66666666666667,1.3973100830130945,0.843426666666658,30.479999542236232,-1,-1,-1,-1,-1,-1,-1,-1.0004066666666576,0.1520996666666677,0.0058186866666646,-1.0,-1.0
14,2017-09-13 16:18:59,1505319538494,c24ur,2,FA,73.33333333333333,2.1505442649942363,0.7134559999999978,31.180000305175792,15,1,1,4,3,3,3,-1.0022399999999954,0.087768566666667,0.1138916666666652,0.0549019607843,0.02470751258083
15,2017-09-13 16:21:25,1505319684493,c24ur,1,FA,65.33333333333333,2.0147822964724007,0.9180906666666644,31.10000038146969,14,1,1,3,3,3,3,-1.0089533333333265,-0.0583902833333323,-0.0127766800000014,0.0745098039215499,0.0392016781704469
16,2017-09-13 16:23:04,1505319783501,c24ur,0,FA,68.0,1.9059735853628612,0.7577013333333315,31.079999923706094,11,1,1,2,3,2,2,-1.006593333333326,0.0419515000000005,0.1045734999999984,0.0705882352941,0.0153082364384045
17,2017-09-13 15:53:49,1505318028497,c24ur,rest,n2_rest,80.0,1.620745542949755,0.6747413333333309,31.1599998474121,-1,-1,-1,-1,-1,-1,-1,-0.9840493333333324,-0.007242840000001,-0.2221680000000012,-1.0,-1.0
18,2017-09-13 16:33:46,1505320425507,c24ur,rest,NCrest,70.33333333333333,1.1661036986966502,0.7853546666666608,30.54000091552725,-1,-1,-1,-1,-1,-1,-1,-0.4118653333333255,0.7592776666666684,0.5250653333333314,-1.0,-1.0
19,2017-09-13 16:37:22,1505320641495,c24ur,rest,NCrest,70.66666666666667,1.0373540589118544,0.8959679999999924,30.53000068664544,-1,-1,-1,-1,-1,-1,-1,-0.2677408333333245,0.8594970000000021,0.4590656666666644,-1.0,-1.0
20,2017-09-13 16:41:49,1505320908510,c24ur,rest,NCrest,63.333333333333336,1.4520819972772212,1.0121119999999932,30.430000305175728,-1,-1,-1,-1,-1,-1,-1,-0.9957681666666582,0.0670980000000012,-0.1548666666666686,-1.0,-1.0
21,2017-09-13 15:55:49,1505318148502,c24ur,2,n3,79.33333333333333,2.2953676876604945,0.6747413333333311,31.1399993896484,-1,-1,-1,-1,-1,-1,-1,-1.0087083333333329,0.0506591666666656,-0.0354004000000013,-1.0,-1.0
22,2017-09-13 16:33:05,1505320384502,c24ur,0,NC,58.66666666666666,1.39990911379407,0.9844586666666606,30.55999946594235,8,1,1,1,3,1,1,-0.9864093333333248,0.1712646666666682,-0.1475830000000017,0.0627450980392,0.0153082364384045
23,2017-09-13 16:36:34,1505320593488,c24ur,2,NC,59.333333333333336,1.2355852625046044,1.023173333333326,30.53000068664544,15,3,1,2,2,4,3,-1.0041099999999914,-0.0054931616666648,-0.1029456666666687,0.05882352941175,0.0401628535835839
24,2017-09-13 16:39:05,1505320744489,c24ur,1,NC,70.66666666666667,1.2225133760657092,0.8959679999999932,30.49999999999993,9,1,1,1,3,2,1,-1.0016266666666578,0.0734863666666688,-0.0996909000000022,0.0549019607843,0.0312758462080753
25,2017-09-13 16:09:13,1505318952491,c24ur,2,HP,75.33333333333333,2.271025013219823,0.840661333333332,31.370000839233413,12,1,1,3,3,3,1,-0.9967039999999968,-0.0555420166666674,-0.1542561666666679,0.0627450980392,0.0520648852373219
26,2017-09-13 16:11:43,1505319102506,c24ur,0,HP,69.0,2.320185614849162,0.8019466666666649,31.29999923706053,9,1,1,2,3,1,1,-0.3581539999999972,0.7731936666666671,0.5421953333333317,0.0470588235294,0.0238129088803636
