,datetime,timestamp,user_id,level,task,hr,gsr,rr,temperature,TLX_mean,TLX_mental_demand,TLX_physical_demand,TLX_temporal_demand,TLX_performance,TLX_effort,TLX_frustration,band_ax,band_ay,band_az,opacity_median,opacity_std
0,2017-10-17 08:34:34,1508229273499,rc1in,1,GC,67.33333333333333,1.0366677120864998,1.1503786666666616,32.20000076293957,12,3,1,1,3,3,1,-0.220296216666668,0.1989745000000032,0.8186848333333291,0.117647058824,0.0972359247771521
1,2017-10-17 08:36:13,1508229372508,rc1in,2,GC,66.33333333333333,1.0541112934038177,1.106133333333328,32.27000045776376,14,3,1,1,5,3,1,-0.1295575000000013,0.6079508333333368,0.7755128333333287,0.1019607843139,0.0117647058826111
2,2017-10-17 08:39:57,1508229596491,rc1in,rest,NCrest,73.0,1.128686335460627,0.569658666666661,32.459999084472734,-1,-1,-1,-1,-1,-1,-1,0.1931559999999988,0.3694660000000033,0.8920898333333286,-1.0,-1.0
3,2017-10-17 08:43:11,1508229790490,rc1in,rest,NCrest,60.0,1.1769552439408897,1.20015466666666,32.49000167846682,-1,-1,-1,-1,-1,-1,-1,-0.8972573333333346,-0.4162596666666633,0.1234131499999952,-1.0,-1.0
4,2017-10-17 08:46:17,1508229976502,rc1in,rest,NCrest,65.66666666666667,1.0901165668416084,0.9623359999999934,32.54999923706055,-1,-1,-1,-1,-1,-1,-1,0.1843263333333319,0.3261720000000037,0.9207356666666616,-1.0,-1.0
5,2017-10-17 08:27:07,1508228826501,rc1in,rest,FArest,65.66666666666667,0.9496716083643982,0.423095999999997,32.1399993896485,-1,-1,-1,-1,-1,-1,-1,0.1925864999999992,0.3053791666666692,0.9263914999999958,-1.0,-1.0
6,2017-10-17 08:31:00,1508229059504,rc1in,rest,FArest,62.66666666666666,1.0065438006065148,0.8904373333333284,32.1599998474122,-1,-1,-1,-1,-1,-1,-1,0.1929118333333321,0.3187255000000029,0.922973666666662,-1.0,-1.0
7,2017-10-17 08:33:34,1508229213505,rc1in,rest,FArest,64.16666666666667,1.146353125422884,0.381615999999995,32.16999816894538,-1,-1,-1,-1,-1,-1,-1,-0.0236816196666679,0.4931640000000026,0.8652346666666624,-1.0,-1.0
8,2017-10-17 08:56:31,1508230590509,rc1in,rest,PTrest,61.333333333333336,1.1682242990654206,0.967866666666661,32.68000030517587,-1,-1,-1,-1,-1,-1,-1,-0.0282389166666683,-0.0095214716666632,0.9945068333333296,-1.0,-1.0
9,2017-10-17 08:57:40,1508230659498,rc1in,rest,PTrest,66.66666666666667,1.145141966700444,0.4618106666666595,32.72999954223636,-1,-1,-1,-1,-1,-1,-1,-0.0126546366666679,0.038492833333337,0.9938149999999965,-1.0,-1.0
10,2017-10-17 08:47:44,1508230063501,rc1in,rest,SXrest,63.66666666666666,1.0197189591120093,0.2267573333333262,32.59000015258795,-1,-1,-1,-1,-1,-1,-1,0.2135819999999982,0.2660726666666703,0.932901666666662,-1.0,-1.0
11,2017-10-17 08:50:40,1508230239498,rc1in,rest,SXrest,62.0,1.0238981921221144,0.9733973333333276,32.639999389648466,-1,-1,-1,-1,-1,-1,-1,0.223713999999998,0.21956366666667,0.9419758333333288,-1.0,-1.0
12,2017-10-17 08:54:33,1508230472517,rc1in,rest,SXrest,73.0,1.0142259814203805,1.0784799999999943,32.58000183105474,-1,-1,-1,-1,-1,-1,-1,-0.006632483333335,-0.0093180373333297,0.99430333333333,-1.0,-1.0
